County_FIPS_code	County_name	State	Average_out-of-pocket_healthcare_spending	Average_out-of-pocket_healthcare_burden_(%)	Average_estimated_annual_gross_income	Average_age	Sample_size	State_Medicaid_expansion_status_as_of_2016_(1=Expanded;_0=Did_not_expand)	County_uninsurance_rate_in_2016_(%)	Percent_change_in_out-of-pocket_healthcare_spending_(2015-2016)	Percentage_point_change_of_out-of-pocket_healthcare_burden_(2015-2016)	Health_Coutcomes/Z-Score	Health_Factors/Z-Score	Length_of_Life/Z-Score	Quality_of_Life/Z-Score	Health_Behaviors/Z-Score	Clinical_Care/Z-Score	Social_&_Economic_Factors/Z-Score	Physical_Environment/Z-Score	Premature_Death/Years_of_Potential_Life_Lost_Rate	%_Fair/Poor_Health	Physically_Unhealthy_Days	Mentally_Unhealthy_Days	%_Low_Birth_Weight	%_Smokers_(Adult)	%_Obese_(Adult)	Food_Environment_Index	%_Physically_Inactive	%_With_Access_to_Exercise_Opportunities	%_Excessive_Drinking	%_Uninsured	%_Uninsured_Adults	%_Uninsured_Children	Primary_Care_Physician-Resident_Ratio_(Z-Score)	Dentist-Resident_Ratio_(Z-Score)	#_Diabetics	High_school_graduate_rates_(Z-Scores)	Some_college_(Z-Score)	Unemployment_(Z-Score)	Household_Income	Household_income_(Black)	Household_income_(Hispanic)	Household_income_(White)	%_Students_Free_or_Reduced_Lunch	Population	%_<_18	%_65_and_over	%_African_American	%_American_Indian/Alaskan_Native	%_Asian	%_Native_Hawaiian/Other_Pacific_Islander	%_Hispanic	%_Non-Hispanic_White	%_Not_Proficient_in_English	%_Female	%_Rural
34001	Atlantic											0.74	0.7	0.49	0.24	0.29	0.03	0.38	-0.01	7454	18.63050358	4.015823139	3.70769241	8.170555254	18.5766379	27.6	7.5	26.1	91.88560148	17.41123494	10.85820416	13	4	-0.06	0.847702886	4642	0.227009317	0.923527475	1.415654434	55672	32155	42361	66708	55.59798142	270991	21.72692082	16.90093029	14.63443435	0.676037212	8.471868069	0.073434173	18.78328063	56.26718231	5.91497299	51.58658406	12.71357754
34003	Bergen											-0.98	-0.76	-0.67	-0.31	-0.3	-0.14	-0.34	0.02	3859	13.41175917	3.096227777	3.243961748	7.935535266	12.65170177	22.1	9.2	21.6	99.27578344	16.38697415	9.575746218	12	4	-1.56	-2.32682644	11124	-1.131684822	-1.10146532	-0.774212085	93205	66950	65047	94592	20.84680193	939151	21.43425285	16.48755099	5.455459239	0.441781993	16.74139728	0.081882466	19.39656136	57.09901816	6.474344783	51.54400091	0.101533947
34005	Burlington	NJ	633	0.9	84649	43	521	1	3	2.3	-0.31	-0.17	-0.31	-0.04	-0.13	-0.04	-0.09	-0.22	0.04	5797	12.75412669	3.38144922	3.340713011	8.432218061	13.7374486	28.2	8.4	22.4	83.30570004	18.13289196	5.879601809	7	3	-0.2	0.272150116	6149	-0.646162858	-0.551801212	-0.593730132	80081	67868	68403	82494	26.07695074	449284	21.09823631	16.31306701	16.55456237	0.319619662	5.222977003	0.076343694	7.855832836	67.92140383	1.676075845	50.72671184	6.66319022
34007	Camden	NJ	462	0.9	70306	42	159	1	5	19.7	0.06	1.06	0.45	0.5	0.56	0.18	0.02	0.2	0.05	7464	17.95612308	4.037270517	4.212237983	8.966935682	16.69955604	29.4	8.1	26.4	93.12946188	16.95196682	8.752000814	11	3	-0.92	-0.021134532	6830	0.759092267	0.1389153	0.108920026	65838	42839	40345	74064	44.08549559	510150	22.99108106	14.9424679	18.60295991	0.630794864	5.944918161	0.097226306	16.38557287	57.25198471	4.638743914	51.68695482	1.617421743
34009	Cape May											0.56	0.39	0.77	-0.21	0.15	-0.06	0.39	-0.09	8288	14.79151548	3.592848618	3.823490743	6.807028653	14.86291302	28.8	7.6	22.8	94.45741017	18.83324534	10.37153025	12	5	0.72	0.912628218	2170	0.702376676	0.518329855	3.047801098	59181	38760	29559	61659	39.2845787	94430	17.75706873	24.98888065	4.280419358	0.336757386	1.052631579	0.070952028	7.616223658	85.3065763	1.211607664	50.9562639	17.45437722
34011	Cumberland											1.63	1.26	0.78	0.86	0.42	0.22	0.61	0.01	8322	23.1549308	4.230811783	4.053664612	9.746722493	17.1503382	34.7	7.5	29.3	81.12977858	17.15463109	12.74221866	16	5	1.27	0.599603181	2576	1.930443709	2.774503464	1.465693293	48867	40845	36165	57393	52.24395857	153797	23.8366158	14.38844711	18.83716848	1.696391997	1.5286384	0.137193833	30.19694793	46.82861174	7.153131947	48.75127603	23.02706217
34013	Essex	NJ	903	1.1	110828	44	7576	1	6	5.5	0.06	0.95	0.6	0.38	0.57	0.08	0.08	0.4	0.04	7103	20.91890503	3.855442855	3.604268617	9.774828614	15.23420662	28.5	7.5	25.1	99.93214017	15.38822175	13.63844924	17	5	-0.15	-0.71492914	8317	1.670834087	0.627363624	0.478046059	54879	37756	41932	93996	53.62307913	796914	23.7844987	12.87127595	38.99128388	0.712498463	5.567100089	0.119084368	22.67772934	31.3047581	8.137980441	51.89405632	0.014541391
34015	Gloucester											0.54	0.17	0.2	0.35	0.2	0.06	-0.12	0.04	6537	15.50610624	3.780623517	4.274811641	8.464243845	16.21780067	30.9	8.1	24.5	87.10699023	20.38444094	6.612729453	8	3	0.79	1.407225312	3742	-0.420028102	-0.176080065	-0.174535719	79332	58762	54124	81677	27.64989405	292330	22.45920706	15.04156262	10.12178018	0.268190059	3.049977765	0.066705436	6.022987719	78.88790066	1.352633473	51.34505525	8.345820846
34017	Hudson	NJ	622	1	85885	40	7228	1	8	4	0.06	0.02	0.49	-0.32	0.34	-0.01	0.32	0.23	-0.05	4953	20.74318855	3.92299504	3.597561466	8.644258716	15.64503491	23.1	8.8	25.3	99.92857886	16.88688787	14.79724516	18	5	0.94	0.710008977	5954	1.804172641	-0.357012017	-0.436570455	63157	43839	44180	81481	69.8194631	677983	20.46231248	10.99098355	10.86605416	1.159321104	15.92753801	0.195137636	43.17497636	28.85618076	14.14879719	50.22058075	0
34019	Hunterdon	NJ	1106	1.4	119786	46	332	1	2	6.1	0.13	-1.21	-1.03	-0.56	-0.66	-0.29	-0.26	-0.46	-0.02	4219	10.58463246	2.724281615	3.381001468	6.859261548	13.14844144	21.4	9.4	17.6	90.31624711	19.0197534	4.675177083	5	3	-1.31	-0.426048034	1603	-1.481348585	-1.110647064	-1.048602205	113336	94194	59607	109859	8.903903904	124676	20.19795309	16.95755398	2.330841541	0.196509352	4.010394944	0.254259039	6.374923803	85.90667009	1.225463795	50.64005903	49.56953307
34021	Mercer	NJ	717	1	101021	44	1736	1	5	6.1	0.04	0.26	-0.25	0.04	0.22	-0.12	-0.05	-0.05	-0.03	6064	14.52536615	3.738151574	3.749213315	8.834762798	12.9248362	25.2	8.4	22.1	97.51986969	17.8762346	9.877788285	12	4	-1.05	-0.105034476	4655	-0.070644306	0.247087885	-0.666606095	76988	43393	48125	91008	41.43763214	371023	21.52858448	14.33253464	19.73570372	0.609126658	11.05160597	0.211846705	17.08815896	50.29310851	6.438409805	51.05640351	3.482550414
34023	Middlesex	NJ	613	1	90661	44	6656	1	4	1.3	0.03	-0.63	-0.33	-0.53	-0.1	-0.15	-0.03	-0.16	0.01	4311	15.81190581	3.257265047	3.46027776	8.111203665	12.3478238	26.8	8.8	25	96.00683083	16.80767961	9.71477948	12	4	-0.58	-0.418527055	10057	-0.046052153	-0.665273077	-0.612218724	82183	66384	56791	79924	32.63350668	837073	21.81434594	14.14452503	9.42223677	0.619061898	24.76641822	0.100588599	20.74108232	43.70729912	7.696733437	50.77896432	0.674315744
34025	Monmouth	NJ	769	1	112933	44	5642	1	3	4.4	0.05	-0.59	-0.42	-0.27	-0.31	-0.09	-0.11	-0.22	0.01	5088	12.87183322	3.304937562	3.434656195	7.484110045	14.12604187	22.6	8.7	20	95.18655414	20.31932456	7.946749023	10	3	-1.27	-1.159904721	8557	-0.915274483	-0.745294717	-0.596262353	89968	46081	57087	94070	24.95093352	625846	21.62768477	16.55551046	6.963374376	0.284894367	5.59258987	0.059439543	10.80026077	75.24247179	2.995605661	51.31965372	3.729496494
34027	Morris	NJ	911	1	124602	45	5738	1	2	2.7	0.03	-1.24	-0.93	-0.66	-0.58	-0.32	-0.16	-0.45	0	3911	11.10118884	2.924962467	3.30971253	7.038033509	11.98659497	21.4	9.3	18.8	94.19756397	18.00884218	6.256951968	8	3	-0.92	-1.558770168	5961	-1.334465897	-1.369231689	-0.955929758	107019	75303	71580	105285	13.80973602	498423	21.70224889	16.12245021	3.188657024	0.297739069	10.525999	0.041731622	13.27286261	71.50492654	3.669519234	50.93645358	6.769373278
34029	Ocean	NJ	650	1.1	80658	43	2288	1	4	2.2	0.06	-0.14	-0.04	0.15	-0.29	-0.02	-0.01	0.02	-0.03	6398	14.23628987	3.714052332	3.835247333	6.343225269	13.82636561	28.7	8.2	25.7	89.14055088	17.68553344	8.848782351	11	4	1.2	0.620060042	11808	-0.180874549	0.065778175	-0.050324003	62276	53670	54805	63494	34.17161023	592497	23.648221	22.24112527	3.014698809	0.264305136	1.981275855	0.045907405	9.139793113	84.74675821	2.027092591	51.78743521	2.898362203
34031	Passaic	NJ	613	1.1	77998	43	5309	1	7	3.2	0.09	0.21	0.64	-0.13	0.34	0.15	0.13	0.37	0	5545	21.28491951	3.780019232	3.649854953	8.635023343	16.0284688	28.2	8.8	24.4	99.2518345	16.72663454	12.92913495	16	4	0.68	0.114699993	5650	0.711973515	1.324634298	0.555197487	61517	34838	41762	84798	58.70826413	507945	24.1167843	13.70423963	10.46668439	1.477522173	5.773656597	0.181318844	41.11665633	41.66277845	11.84563148	51.26027424	2.410090458
34033	Salem											1.18	0.8	0.95	0.23	0.33	0.23	0.21	0.03	8843	17.7793881	4.065118797	3.981199422	7.770338811	17.14674044	33.6	8	27.5	82.2586747	16.78239719	8.009875976	10	4	1.48	2.021499394	1215	0.482462496	1.015016058	0.70054026	56071	30226	48636	68835	39.41698352	63436	21.85036888	18.25304244	13.41982471	0.558042752	0.996279715	0.040986191	8.443155306	75.0204931	2.582202013	51.23273851	45.30060681
34035	Somerset	NJ	778	0.9	122279	43	2022	1	3	-2.4	-0.02	-1.14	-0.97	-0.66	-0.48	-0.35	-0.2	-0.39	-0.03	3904	11.14323697	2.790351686	3.13185185	7.909292035	11.00704954	22.3	9.3	17.4	94.02585919	18.34604684	6.558575227	8	3	-1.22	-0.852412602	3549	-0.855214392	-1.293069744	-0.851601432	104668	72509	70333	105990	19.96142178	333751	22.45686155	14.8943374	9.171807725	0.364343478	17.78871075	0.082097132	14.60340194	56.84447387	3.516437985	51.18276799	5.792656534
34037	Sussex	NJ	648	1.1	88524	45	2891	1	2	1.8	0	-0.63	-0.32	-0.15	-0.48	-0.03	-0.02	-0.28	0	5460	11.78087079	3.247777333	3.654308652	6.541530853	14.28715475	27.6	8.9	23	92.65065488	20.22456196	6.131275792	7	3	1.14	0.184903626	2102	-0.828824586	-0.535460731	-0.415779832	87549	85083	76736	87833	17.0569515	142522	20.5764724	16.01647465	2.013724197	0.242067891	2.030563702	0.038590533	7.783359762	86.78168984	1.057897981	50.28065843	39.84993133
34039	Union	NJ	801	1	109431	43	4725	1	5	6.2	0.1	-0.35	-0.06	-0.29	-0.05	-0.13	0.03	0.03	0.01	5035	16.88837087	3.567029762	3.341005262	8.04211142	13.25296382	24.7	8.9	21.5	99.45722173	16.48853552	13.04486126	16	5	0.41	-0.378543286	5906	0.083855498	0.399270808	-0.097484709	71801	54457	51101	94108	47.49365144	555630	23.63101344	13.5604629	21.12934867	0.702085921	5.487284704	0.105105916	31.26649029	40.88026205	11.24980106	51.24633299	0
34041	Warren	NJ	701	1.1	85637	45	517	1	3	8.8	0.03	-0.07	-0.07	0.03	-0.1	0.07	0.01	-0.16	0.01	6020	14.89936978	3.671972497	3.678851553	7.45412844	16.06490908	27.9	8.5	24.3	97.78824569	18.88142015	8.130790314	10	4	0.59	0.271648708	1724	-0.461645471	-0.129091306	-0.497995155	74834	80625	53061	74220	26.93790404	106617	20.54081432	16.99728936	4.304191639	0.235422118	3.051108172	0.080662559	8.820356979	82.44651416	2.326676345	51.03595112	37.56486218
