"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-02-28,274772,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,299900,0.0043536503683858,0.0043536503683858,0.0661215783860647,0.115155361505902,0.0546225571977581,"2018-02","2018-Q1",299900,0,"2018-02"
2018-02-28,192689,"Paradise","NV","Las Vegas","Clark","Las Vegas",1,237000,0.0154241645244216,0.0408432147562582,0.174430128840436,0.138874133652938,-0.00355806056135211,"2006-07","2006-Q3",290400,-0.183884297520661,"2004-09"
2018-02-28,112345,"Maryvale","AZ","Phoenix","Maricopa","Phoenix",2,167100,0.00844900422450211,0.0295748613678373,0.124495289367429,0.168215719948732,0,"2007-02","2007-Q1",193300,-0.135540610450078,"2006-01"
2018-02-28,27080,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",3,956600,0.00768987675129043,0.0161461652857446,0.0898940412441609,0.0871557160591843,0.027177902617602,"2018-02","2018-Q1",956600,0,"2018-02"
2018-02-28,118208,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4,468300,0.00666380051590714,0.0242782152230971,0.137202525497814,0.124113117563362,0.0126699606987386,"2018-02","2018-Q1",468300,0,"2018-02"
2018-02-28,192820,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",5,194000,0.0162388685175485,0.0363247863247863,0.171497584541063,0.153737751687219,-0.0124532818922729,"2006-09","2006-Q3",258800,-0.250386398763524,"2004-10"
2018-02-28,194430,"East New York","NY","New York","Kings","New York",6,402000,-0.000745712155108128,-0.00421104780777805,0.053183128111082,0.0750127232488957,0.00670869769370186,"2017-11","2017-Q4",403700,-0.00421104780777805,"2017-09"
2018-02-28,192796,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",7,257100,0.0142011834319527,0.0362756952841596,0.167044938719927,0.134165159148498,0.00228437218360567,"2006-04","2006-Q2",303800,-0.153719552337064,"2004-09"
2018-02-28,268496,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",8,382500,0.00472813238770686,0.0167464114832536,0.0959885386819484,0.121596984522301,0.00107826251637078,"2007-04","2007-Q2",407300,-0.0608887797692119,"2006-07"
2018-02-28,112547,"Paradise Valley","AZ","Phoenix","Maricopa","Phoenix",9,323300,0.00685144814699471,0.0122103944896681,0.0698213103904699,0.075093019242146,0.00760867098400686,"2006-02","2006-Q1",343000,-0.0574344023323615,"2005-09"
2018-02-28,111818,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",10,242900,0.00247626908790755,0.0125052105043768,0.084375,0.098433951859646,0.00840370951278557,"2006-03","2006-Q1",256300,-0.0522824814670308,"2005-10"
2018-02-28,41466,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",11,574900,0.00419213973799127,0.021499644633973,0.0636447733580019,0.105484628951486,0.0176970156051079,"2018-02","2018-Q1",574900,0,"2018-02"
2018-02-28,273698,"Far North","TX","Dallas-Fort Worth","Dallas","Dallas",12,381600,0.004739336492891,0.0100582318687136,0.0392156862745098,0.098837119510184,0.0479906413040276,"2018-02","2018-Q1",381600,0,"2018-02"
2018-02-28,32059,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",13,788200,0.00279898218829517,0.00857325655790147,0.0688906970436669,0.103590689345218,0.0230627449754757,"2018-02","2018-Q1",788200,0,"2018-02"
2018-02-28,199001,"Williamsburg","NY","New York","Kings","New York",14,983400,-0.00142160844841592,0.007788481246157,0.0320075558820443,0.0932842632805648,,"2018-01","2018-Q1",984800,-0.00142160844841592,"2018-01"
